               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063661,             0.01561,            0.032156,             0.18724,             0.91081,             0.46343,             0.29399,            0.050843,           0.0052313,            0.021011,            0.009307,            0.009307,            0.009307
                  37,            0.059833,            0.014159,            0.029149,              0.1656,             0.88235,             0.40346,             0.14336,            0.044042,           0.0054333,            0.020969,           0.0092872,           0.0092872,           0.0092872
                  38,            0.059087,            0.015989,            0.031809,             0.38252,              0.8312,             0.54729,             0.31292,            0.036182,            0.005927,             0.02081,           0.0092674,           0.0092674,           0.0092674
                  39,            0.055254,             0.01811,            0.031785,             0.37881,             0.73529,              0.5823,               0.201,            0.039084,            0.006078,            0.021073,           0.0092476,           0.0092476,           0.0092476
                  40,             0.05912,            0.014908,             0.03123,             0.37881,             0.73529,              0.5823,               0.201,            0.039084,            0.006078,            0.021073,           0.0092278,           0.0092278,           0.0092278
                  41,            0.057357,            0.013645,            0.030036,             0.39484,             0.93156,             0.62222,             0.28195,            0.030183,           0.0060792,             0.02128,            0.009208,            0.009208,            0.009208
                  42,            0.063412,            0.014177,            0.031584,              0.1984,             0.82353,             0.42069,              0.1941,            0.056137,           0.0058561,            0.021394,           0.0091882,           0.0091882,           0.0091882
                  43,            0.074085,            0.014048,            0.030694,             0.22373,             0.94118,             0.41947,              0.1159,              0.0486,            0.005399,             0.02058,           0.0091684,           0.0091684,           0.0091684
                  44,            0.070473,            0.012115,            0.031401,             0.22373,             0.94118,             0.41947,              0.1159,              0.0486,            0.005399,             0.02058,           0.0091486,           0.0091486,           0.0091486
                  45,            0.067159,             0.01425,            0.031766,             0.21155,             0.89216,             0.38616,             0.21528,            0.043272,           0.0051399,             0.02022,           0.0091288,           0.0091288,           0.0091288
                  46,            0.063318,             0.01338,            0.030359,              0.3902,             0.94118,             0.59627,             0.30252,            0.040499,            0.004976,            0.019964,            0.009109,            0.009109,            0.009109
                  47,            0.059538,            0.012773,            0.029924,             0.20444,             0.64559,             0.31293,             0.17042,            0.048998,           0.0055966,            0.019727,           0.0090892,           0.0090892,           0.0090892
                  48,            0.064046,            0.015638,            0.030701,             0.20444,             0.64559,             0.31293,             0.17042,            0.048998,           0.0055966,            0.019727,           0.0090694,           0.0090694,           0.0090694
                  49,            0.064213,             0.01513,            0.030698,             0.20209,             0.71355,             0.35684,             0.18212,            0.052002,           0.0054991,             0.01964,           0.0090496,           0.0090496,           0.0090496
                  50,             0.05753,            0.014614,            0.030736,             0.26132,             0.82353,             0.45644,             0.19681,            0.053144,           0.0050107,            0.019646,           0.0090298,           0.0090298,           0.0090298
                  51,            0.060096,            0.012876,            0.031547,             0.39322,             0.97059,             0.70316,             0.40575,            0.031631,           0.0051786,            0.019487,             0.00901,             0.00901,             0.00901
                  52,            0.047895,            0.017906,            0.031501,             0.39322,             0.97059,             0.70316,             0.40575,            0.031631,           0.0051786,            0.019487,           0.0089902,           0.0089902,           0.0089902
                  53,            0.045977,            0.016554,            0.031678,             0.49356,             0.97059,             0.77025,             0.48037,            0.026635,           0.0050313,            0.019552,           0.0089704,           0.0089704,           0.0089704
                  54,            0.049575,            0.015426,            0.031707,             0.35129,             0.97059,             0.64469,             0.17251,            0.033641,           0.0058998,            0.019662,           0.0089506,           0.0089506,           0.0089506
                  55,            0.052807,            0.014176,            0.030555,              0.2789,             0.91619,             0.51369,             0.38512,              0.0292,           0.0053713,            0.018972,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050058,            0.013843,            0.029496,              0.2789,             0.91619,             0.51369,             0.38512,              0.0292,           0.0053713,            0.018972,            0.008911,            0.008911,            0.008911
                  57,            0.044407,             0.01409,            0.028745,             0.28969,             0.94118,             0.56377,             0.26603,            0.021958,           0.0053152,            0.018596,           0.0088912,           0.0088912,           0.0088912
                  58,            0.043574,            0.012863,            0.030467,             0.44567,             0.67775,             0.59489,             0.23224,            0.034239,           0.0057248,            0.018583,           0.0088714,           0.0088714,           0.0088714
                  59,             0.04504,            0.012179,            0.030712,             0.71872,             0.68908,             0.85458,             0.35864,            0.033509,           0.0054235,            0.017496,           0.0088516,           0.0088516,           0.0088516
                  60,            0.044978,            0.012377,            0.030222,             0.71872,             0.68908,             0.85458,             0.35864,            0.033509,           0.0054235,            0.017496,           0.0088318,           0.0088318,           0.0088318
                  61,            0.041549,            0.011026,            0.028431,             0.68342,             0.74831,              0.7848,             0.27224,            0.036347,            0.005784,            0.017234,            0.008812,            0.008812,            0.008812
                  62,            0.040906,            0.014125,             0.02848,             0.42861,             0.80179,              0.6611,             0.24214,            0.038159,           0.0062028,            0.016838,           0.0087922,           0.0087922,           0.0087922
